date	AFG	ALB	DZA	AGO	ATG	ARG	ARM	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BTN	BOL	BIH	BWA	BRA	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GRC	GRD	GTM	GIN	GNB	GUY	HTI	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KOR	UVK	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MDA	MNG	MNE	MAR	MOZ	MMR	NAM	NPL	NLD	NZL	NIC	NER	NGA	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	ROU	RUS	RWA	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	SSD	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	TKM	TUV	UGA	UKR	ARE	GBR	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE
1/1/1980	n/a	2.016	42.346	5.934	0.131	250.255	n/a	162.81	80.743	n/a	2.035	3.593	22.632	1.018	n/a	123.947	0.172	1.685	0.127	3.589	n/a	1.175	152.154	n/a	26.603	2.121	0.951	0.157	n/a	7.649	272.982	0.714	0.738	28.7	303.764	46.784	0.152	68.606	2.083	4.831	10.04	n/a	2.31	n/a	71.14	n/a	0.073	9.248	16.84	22.371	3.899	0.032	n/a	n/a	7.385	1.231	46.261	939.453	4.559	0.364	n/a	850.642	25.956	56.779	0.101	7.319	1.724	0.171	0.559	1.546	3.508	28.862	22.913	3.447	189.438	99.296	100.866	n/a	21.397	23.745	470.097	2.565	1,086.99	3.908	n/a	10.099	0.041	65.222	n/a	28.724	n/a	1.004	n/a	4.074	0.411	n/a	38.941	n/a	6.494	n/a	4.042	2.146	26.382	0.063	1.685	n/a	n/a	n/a	1.262	234.618	n/a	n/a	3.188	n/a	21.998	5.401	n/a	n/a	1.98	189.524	22.52	1.832	2.509	62.365	64.448	6.13	28.632	n/a	3.81	2.767	4.095	20.186	36.045	56.619	32.611	7.829	46.348	n/a	1.259	0.127	n/a	0.069	164.54	3.503	n/a	0.147	1.701	12.079	n/a	n/a	0.177	82.981	n/a	230.189	4.39	0.058	0.144	0.082	9.902	1.192	1.074	138.184	118.714	12.98	42.296	n/a	7.412	33.422	n/a	1.234	0.074	6.236	9.566	94.258	n/a	n/a	5.55	n/a	40.415	565.019	2,862.48	11.199	n/a	0.121	69.843	27.847	n/a	4.246	n/a
1/1/1981	n/a	2.309	44.372	5.554	0.148	203.251	n/a	188.278	69.965	n/a	2.109	4.056	22.057	1.12	n/a	102.655	0.179	1.14	0.137	3.44	n/a	1.038	174.864	n/a	28.694	1.846	0.989	0.154	n/a	8.665	305.757	0.743	0.873	33.981	287.363	50.969	0.133	59.726	1.708	2.624	8.321	n/a	2.237	n/a	61.893	n/a	0.082	10.342	17.243	24.499	3.437	0.03	n/a	n/a	7.578	1.264	42.011	1,025.68	4.111	0.349	n/a	715.726	21.669	52.452	0.106	7.995	1.711	0.219	0.544	1.702	3.855	31.055	23.497	3.558	196.535	110.848	114.653	n/a	20.339	25.16	426.296	2.817	1,201.47	4.388	n/a	9.513	0.043	72.426	n/a	25.249	n/a	0.587	n/a	3.894	0.418	n/a	33.641	n/a	5.601	n/a	3.595	2.146	26.938	0.073	1.393	n/a	n/a	n/a	1.25	301.328	n/a	n/a	3.336	n/a	17.86	4.195	n/a	n/a	2.315	158.867	23.439	2.156	2.171	64.135	63.605	7.461	30.838	n/a	4.313	2.716	5.22	24.394	39.595	53.647	32.48	8.661	55.674	n/a	1.429	0.119	n/a	0.084	184.291	3.177	n/a	0.154	1.823	14.383	n/a	n/a	0.188	85.462	n/a	204.082	4.568	0.069	0.165	0.102	7.109	1.333	1.076	126.151	108.674	16.652	48.986	n/a	8.865	35.999	n/a	1.025	0.082	6.992	9.223	95.496	n/a	n/a	8.986	n/a	45.002	540.828	3,210.95	12.499	n/a	0.114	78.369	13.875	n/a	4.385	n/a
1/1/1982	n/a	2.378	44.78	5.554	0.164	100.928	n/a	186.918	69.954	n/a	2.374	4.264	20.197	1.171	n/a	90.324	0.179	1.128	0.144	3.813	n/a	1.095	186.95	n/a	29.927	1.719	1.045	0.155	n/a	8.31	313.47	0.719	0.844	25.337	281.79	54.583	0.126	64.939	1.489	2.607	7.466	n/a	2.315	n/a	60.423	n/a	0.09	9.748	17.214	28.986	3.394	0.035	n/a	n/a	7.973	1.222	41.505	1,031.31	3.853	0.33	n/a	691.011	36.688	55.002	0.115	8.098	1.678	0.249	0.459	1.77	3.97	32.291	23.929	3.27	203.537	113.799	143.485	n/a	21.266	26.964	421.333	3.235	1,116.84	4.684	n/a	9.159	0.042	77.768	n/a	21.583	n/a	0.587	n/a	2.656	0.348	n/a	33.541	n/a	4.599	n/a	3.526	2.046	28.868	0.087	1.247	n/a	n/a	n/a	1.147	218.68	n/a	n/a	3.463	n/a	18.028	4.285	n/a	n/a	2.34	153.892	23.205	2.497	2.018	55.511	62.653	7.829	31.303	n/a	4.765	2.576	5.47	24.254	41.254	65.187	30.681	7.597	55.729	n/a	1.525	0.122	n/a	0.081	153.24	3.11	n/a	0.148	2.05	15.887	n/a	n/a	0.187	78.416	n/a	197.154	4.932	0.079	0.155	0.114	5.169	1.372	1.027	111.393	111.313	17.415	49.545	n/a	10.178	37.799	n/a	0.864	0.081	8.14	8.9	86.766	n/a	n/a	6.235	n/a	41.848	515.069	3,345.00	10.218	n/a	0.114	80	18.405	n/a	4.232	n/a
1/1/1983	n/a	2.403	47.529	5.788	0.182	124.505	n/a	179.352	70.874	n/a	2.643	4.368	21.165	1.243	n/a	85.369	0.189	0.999	0.156	3.609	n/a	1.21	149.893	n/a	30.754	1.571	1.106	0.152	n/a	8.376	340.321	0.69	0.844	20.581	302.459	54.249	0.122	52.378	1.354	3.147	6.737	n/a	2.317	n/a	60.65	n/a	0.099	10.089	15.129	35.43	3.25	0.04	n/a	n/a	8.863	1.149	41.985	1,278.67	3.689	0.332	n/a	689.366	12.249	49.816	0.123	8.406	1.641	0.281	0.466	1.9	4.207	29.907	21.717	2.807	222.049	103.149	174.72	n/a	20.524	30.072	437.189	2.875	1,218.11	4.922	n/a	8.47	0.04	87.027	n/a	20.317	n/a	1.075	n/a	3.66	0.382	n/a	31.963	n/a	4.515	n/a	3.512	2.121	32.286	0.094	1.222	n/a	n/a	n/a	1.187	178.282	n/a	n/a	3.59	n/a	16.296	3.838	n/a	n/a	2.56	149.824	22.453	2.9	1.803	37.575	61.631	8.206	32.339	n/a	4.892	2.572	6.069	18.859	36.891	75.406	28.27	6.468	48.711	n/a	1.629	0.113	n/a	0.076	129.181	2.774	n/a	0.147	1.782	17.998	n/a	n/a	0.176	87.418	n/a	172.429	5.324	0.078	0.167	0.122	7.06	1.325	1.114	102.366	110.993	18.649	54.162	n/a	10.425	41.366	n/a	0.809	0.08	7.764	9.202	82.911	n/a	n/a	7.132	n/a	38.345	489.66	3,638.13	5.609	n/a	0.117	79.675	27.726	n/a	3.653	n/a
1/1/1984	n/a	2.372	51.513	6.135	0.208	139.793	n/a	196.998	66.857	n/a	2.822	4.534	24.064	1.355	n/a	81.565	0.211	1.065	0.161	3.752	n/a	1.201	149.168	n/a	32.668	1.404	1.006	0.145	n/a	8.853	353.888	0.67	0.907	20.014	311.473	53.581	0.118	34.951	1.245	3.66	6.717	n/a	2.443	n/a	59.115	n/a	0.109	15.858	16.101	39.837	2.377	0.044	n/a	n/a	8.375	1.205	41.565	1,280.30	3.547	0.238	n/a	649.558	8.053	48.515	0.133	8.796	1.672	0.195	0.465	2.105	4.538	33.511	21.055	2.904	215.556	107.218	181.152	n/a	19.831	28.469	431.906	2.119	1,294.61	4.972	n/a	8.788	0.043	96.596	n/a	21.457	n/a	1.539	n/a	4.327	0.342	n/a	29.93	n/a	4.426	n/a	2.939	2.095	36.568	0.113	1.217	n/a	n/a	n/a	1.149	210.246	n/a	n/a	3.316	n/a	14.904	3.998	n/a	n/a	2.708	139.468	22.347	3.966	1.461	27.25	62.081	9.044	33.762	n/a	5.106	2.376	4.931	19.439	34.857	75.507	25.954	6.704	39.361	n/a	1.56	0.111	n/a	0.079	119.631	2.706	n/a	0.151	2.062	19.552	n/a	n/a	0.176	77.315	n/a	171.955	6.24	0.091	0.213	0.135	8.701	1.296	0.939	106.633	106.025	19.171	61.088	n/a	9.485	43.179	n/a	0.724	0.084	7.757	9.055	80.642	n/a	n/a	5.486	n/a	38.012	461.567	4,040.70	5.334	n/a	0.144	57.827	48.177	n/a	3.003	n/a
1/1/1985	n/a	2.423	61.132	7.559	0.241	105.586	n/a	174.263	68.47	n/a	3.074	4.278	24.756	1.418	n/a	84.82	0.209	1.111	0.167	4.059	n/a	1.118	236.798	4.434	27.971	1.553	1.17	0.152	n/a	9.246	362.975	0.883	0.983	17.161	307.829	48.877	0.12	31.943	1.276	3.923	6.851	n/a	2.606	n/a	62.682	n/a	0.119	6.928	18.83	46.45	2.311	0.074	n/a	n/a	9.808	1.168	43.682	1,412.10	3.736	0.29	n/a	658.784	8.046	48.141	0.155	10.385	1.777	0.287	0.474	2.337	4.976	35.7	21.321	3.028	237.618	107.062	85.906	n/a	21.018	26.46	446.173	1.993	1,384.53	5.001	n/a	8.746	0.033	100.288	n/a	21.54	n/a	1.935	n/a	3.614	0.273	n/a	29.44	n/a	4.588	n/a	2.858	1.962	33.612	0.134	1.227	n/a	n/a	n/a	1.068	223.104	n/a	n/a	3.851	n/a	15.043	5.285	n/a	n/a	2.812	141.524	22.498	3.854	1.44	26.725	65.436	10.047	34.941	n/a	5.402	2.2	4.214	16.82	33.995	70.775	27.233	6.272	48.595	n/a	1.853	0.106	n/a	0.083	103.894	2.962	n/a	0.169	1.755	18.557	n/a	n/a	0.16	59.103	n/a	181.172	6.173	0.101	0.241	0.146	6.039	1.309	0.671	111.569	107.58	21.177	63.641	n/a	8.558	40.185	n/a	0.763	0.079	7.376	9.246	90.58	n/a	n/a	5.02	n/a	37.31	489.552	4,346.75	5.212	n/a	0.132	59.867	14.999	n/a	2.848	n/a
1/1/1986	n/a	2.68	61.535	7.077	0.29	126.966	n/a	181.35	97.157	n/a	3.323	3.347	25.954	1.557	n/a	117.619	0.228	1.419	0.189	3.97	n/a	1.516	274.694	2.704	24.756	2.036	1.233	0.21	0.205	12.052	375.661	1.158	1.211	18.449	298.564	48.944	0.162	35.84	1.746	4.404	9.17	n/a	3.311	n/a	88.103	n/a	0.135	8.415	13.816	51.429	2.327	0.091	n/a	n/a	10.188	1.32	60.653	1,331.66	4.889	0.226	n/a	940.833	6.74	56.643	0.174	5.615	1.922	0.28	0.523	2.597	5.207	41.076	24.56	4.038	252.751	101.22	89.641	n/a	28.369	32.574	631.896	2.369	2,051.06	6.404	n/a	10.387	0.034	115.537	n/a	17.376	n/a	1.353	n/a	2.817	0.314	n/a	23.987	n/a	6.679	n/a	3.258	2.048	29.879	0.158	1.695	n/a	n/a	n/a	1.346	154.47	n/a	n/a	4.25	n/a	19.864	6.203	n/a	n/a	3.06	197.217	27.382	5.8	1.904	21.164	78.714	7.954	36.432	n/a	5.614	2.394	5.032	25.236	33.174	73.677	37.873	4.95	52.625	n/a	2.1	0.112	n/a	0.117	86.886	4.19	n/a	0.208	1.314	18.763	n/a	n/a	0.143	67.562	n/a	250.683	6.615	0.119	0.29	0.161	8.056	1.336	0.724	147.316	154.151	25.428	78.234	n/a	10.82	44.52	n/a	1.061	0.094	4.794	9.911	100.483	n/a	n/a	5.002	n/a	29.568	601.574	4,590.13	6.47	n/a	0.128	60.878	33.873	n/a	1.962	n/a
1/1/1987	n/a	2.659	63.3	8.089	0.337	130.175	n/a	212.951	121.499	n/a	3.658	3.626	28.633	1.714	n/a	145.99	0.267	1.66	0.229	4.323	n/a	2.376	298.989	3.106	28.696	2.37	1.161	0.26	0.141	13.96	429.038	1.275	1.372	21.759	325.144	50.948	0.196	33.932	2.121	4.533	10.088	n/a	3.971	n/a	109.433	n/a	0.152	8.856	12.91	73.571	2.366	0.111	n/a	n/a	10.89	1.205	76.845	1,404.48	3.699	0.303	n/a	1,170.62	6.712	65.903	0.202	6.502	2.041	0.237	0.655	1.279	5.678	50.623	26.992	5.595	283.75	95.214	103.247	n/a	33.618	38.907	793.07	2.672	2,485.24	6.751	n/a	11.387	0.071	146.132	n/a	20.817	n/a	0.953	n/a	3.298	0.41	n/a	22.294	n/a	8.289	n/a	2.566	2.013	34.046	0.149	1.964	n/a	n/a	n/a	1.798	169.397	n/a	n/a	4.776	n/a	21.911	2.803	n/a	n/a	3.175	241.531	36.912	3.409	2.233	22.553	94.24	8.339	38.983	n/a	5.638	2.631	4.216	41.673	36.871	63.714	47.391	5.216	58.852	n/a	2.331	0.124	n/a	0.118	85.582	5.041	n/a	0.249	1.145	21.611	n/a	n/a	0.15	88.571	n/a	317.602	6.889	0.136	0.32	0.176	13.025	1.469	0.967	179.09	192.949	32.497	105.04	n/a	5.331	52.204	n/a	1.249	0.102	4.798	10.663	115.898	n/a	n/a	8.065	n/a	32.466	745.24	4,870.23	8.095	n/a	0.139	46.855	42.045	n/a	2.431	n/a
1/1/1988	n/a	2.621	51.664	8.775	0.399	152.475	n/a	269.976	133.293	n/a	3.804	4.481	30.904	1.823	n/a	158.724	0.315	1.728	0.262	4.598	n/a	3.084	334.013	2.955	46.895	2.616	1.088	0.292	0.276	14.176	506.041	1.372	1.604	25.65	405.715	54.925	0.207	39.314	2.257	4.614	10.195	n/a	4.58	n/a	115.568	n/a	0.171	8.11	12.277	88	2.762	0.119	n/a	n/a	11.285	1.136	89.268	1,611.20	4.079	0.352	n/a	1,262.02	7.231	76.747	0.223	7.042	2.384	0.221	0.615	0.841	6.324	59.708	29.537	6.182	299.645	107.279	90.535	n/a	36.807	48.196	878.629	3.184	3,015.39	6.324	n/a	11.806	0.045	196.972	n/a	19.281	n/a	0.621	n/a	3.314	0.465	n/a	25.067	n/a	9.389	n/a	2.442	2.314	37.315	0.178	1.967	n/a	n/a	n/a	2.181	207.235	n/a	n/a	4.797	n/a	25.947	2.463	n/a	n/a	3.743	258.309	45.416	1.499	2.28	25.022	101.91	8.105	42.241	n/a	4.875	3.656	5.584	32.971	42.082	68.612	55.44	5.004	60.925	n/a	2.495	0.138	n/a	0.1	88.138	4.985	n/a	0.284	1.877	26.515	n/a	n/a	0.171	95.207	n/a	373.143	7.2	0.161	0.367	0.201	10.398	1.741	0.976	202.623	208.8	16.538	126.461	n/a	5.124	63.704	n/a	1.514	0.119	4.497	11.073	121.901	n/a	n/a	8.355	n/a	32.999	910.323	5,252.63	8.375	n/a	0.158	60.379	23.234	n/a	4.095	n/a
1/1/1989	n/a	2.879	52.558	10.208	0.439	97.825	n/a	307.184	132.965	n/a	4.288	4.675	34.046	2.018	n/a	160.46	0.363	1.596	0.261	4.716	n/a	3.444	458.527	3.315	47.76	2.616	1.131	0.295	0.346	12.64	563.661	1.354	1.515	29.547	453.914	55.384	0.199	40.006	2.384	5.225	9.757	n/a	4.892	n/a	112.436	n/a	0.185	9.16	12.049	109.714	3.157	0.105	n/a	n/a	11.872	1.21	92.922	1,614.71	4.458	0.37	n/a	1,252.92	7.414	79.535	0.258	8.118	2.432	0.266	0.779	0.778	7.065	68.79	30.154	5.735	300.187	122.582	87.363	n/a	37.998	49.038	913.648	3.692	3,017.05	4.252	n/a	11.705	0.043	243.508	n/a	23.855	n/a	0.767	n/a	2.718	0.484	n/a	26.594	n/a	9.998	n/a	2.498	2.639	41.095	0.201	2.369	n/a	n/a	n/a	2.28	252.549	n/a	n/a	4.997	n/a	26.706	2.574	n/a	n/a	3.784	254.538	44.051	2.082	2.18	24.174	102.648	9.058	43.869	n/a	4.888	3.546	4.046	40.692	47.291	66.895	59.812	5.288	54.583	n/a	2.605	0.142	n/a	0.099	95.217	4.913	n/a	0.305	1.724	31.393	n/a	n/a	0.167	99.044	n/a	411.571	7.227	0.179	0.416	0.215	18.347	2.034	0.983	213.079	201.666	9.849	152.727	n/a	4.343	74.637	n/a	1.486	0.144	4.323	11.069	144.085	n/a	n/a	6.774	n/a	38.09	927.105	5,657.70	8.827	n/a	0.154	44.673	6.293	n/a	4.365	n/a
1/1/1990	n/a	2.301	61.892	11.236	0.459	169.221	n/a	323.263	166.493	n/a	4.088	4.964	35.383	2.024	n/a	200.926	0.412	1.96	0.281	4.868	n/a	4.079	475.119	3.908	21.058	3.101	1.131	0.339	0.899	12.654	592.047	1.572	1.826	32.851	392.505	56.412	0.25	41.448	2.799	5.71	10.796	n/a	5.992	n/a	138.258	n/a	0.201	8.526	12.236	91.383	4.801	0.133	n/a	n/a	12.595	1.337	113.699	1,462.61	6.339	0.434	n/a	1,592.71	8.835	98.341	0.268	7.106	2.666	0.323	0.652	0.99	4.169	76.929	34.173	6.544	326.608	138.258	567.811	n/a	48.054	57.865	1,140.33	4.663	3,103.70	4.161	n/a	12.18	0.041	279.215	n/a	18.293	n/a	0.915	n/a	2.838	0.584	n/a	30.644	n/a	12.747	n/a	3.081	2.999	46.575	0.231	2.751	n/a	n/a	1.213	2.508	298.037	n/a	n/a	3.131	n/a	30.18	4.13	n/a	2.838	3.894	314.016	45.765	0.519	2.48	36.052	119.796	11.294	48.572	n/a	5.313	3.221	4.904	28.32	49.095	62.084	79.447	7.36	38.88	n/a	2.491	0.182	n/a	0.12	117.473	5.717	n/a	0.369	0.941	38.9	n/a	n/a	0.208	115.533	n/a	533.945	8.273	0.203	0.484	0.24	2.444	0.539	1.229	255.95	257.544	12.303	166.845	n/a	3.43	88.467	n/a	1.789	0.148	5.068	13.474	202.247	n/a	n/a	5.525	n/a	49.09	1,093.36	5,979.58	10.27	n/a	0.169	48.393	6.472	12.644	4.085	8.78
1/1/1991	n/a	1.381	46.67	10.891	0.482	226.999	n/a	324.108	174.045	n/a	4.018	5.207	36.468	2.032	n/a	206.218	0.445	1.986	0.244	5.343	n/a	4	416.596	4.109	2.063	3.135	1.167	0.353	2.011	14.109	608.253	1.498	1.809	37.812	411.307	58.308	0.26	40.25	2.725	7.158	10.493	n/a	6.184	n/a	139.265	0.462	0.22	10.544	13.73	46.06	5.311	0.132	n/a	n/a	13.928	1.384	105.712	1,512.96	5.754	0.457	n/a	1,869.10	11.118	106.032	0.292	8.687	3.015	0.457	0.732	0.888	4.195	88.96	34.559	6.993	274.842	154.558	793.296	n/a	48.667	65.641	1,204.94	4.285	3,536.80	4.345	n/a	11.501	0.049	325.713	n/a	10.826	n/a	1.078	n/a	4.452	0.662	n/a	33.908	n/a	13.815	n/a	2.677	3.821	52.765	0.262	2.791	n/a	n/a	1.39	2.99	357.292	n/a	n/a	3.297	n/a	32.286	3.217	n/a	2.854	4.261	323.511	43.576	3.678	2.328	35.139	121.903	10.919	55.352	n/a	5.842	3.789	6.984	33.988	50.32	80.451	89.913	6.884	29.331	n/a	1.837	0.177	n/a	0.108	132.047	5.617	n/a	0.374	1.139	45.472	n/a	n/a	0.22	123.964	n/a	575.184	9.058	0.201	0.514	0.255	2.752	0.594	1.277	268.677	260.542	12.738	187.351	n/a	4.031	101.247	n/a	1.768	0.177	5.203	14.202	203.491	n/a	n/a	2.208	n/a	49.821	1,143.08	6,174.05	12.376	n/a	0.201	53.383	7.642	14.665	3.69	8.18
